BIN,HOUSE_NUMBER,STREET_NAME,ZIP,COMM_DISTRICT,BOROUGH,HPD_VIOLATIONS,DOB_VIOLATIONS,TOTAL_VIOLATIONS,DWELLING_UNITS,VIO_UNITS_RATIO,LATITUDE_POINT_Y,LONGITUDE_POINT_X
1001461,20,WARREN STREET,10007,101,Manhattan,17,5,22,4,5.5,40.7142906188965,-74.007682800293
1001490,160,CHAMBERS STREET,10007,101,Manhattan,12,0,12,4,3.0,40.7158088684082,-74.010368347168
1001511,13,HUDSON STREET,10013,101,Manhattan,11,3,14,4,3.5,40.7164611816406,-74.009391784668
1001586,111,READE STREET,10013,101,Manhattan,0,18,18,4,4.5,40.7157516479492,-74.0086975097656
1003097,189,HESTER STREET,10013,102,Manhattan,3,32,35,8,4.375,40.7182312011719,-73.9976425170898
1003500,54,EAST BROADWAY,10002,103,Manhattan,46,10,56,8,7.0,40.713809967041,-73.9955062866211
1003535,105,EAST BROADWAY,10002,103,Manhattan,43,0,43,3,14.333333,40.7136001586914,-73.9930877685547
1004117,175,STANTON STREET,10002,103,Manhattan,50,0,50,8,6.25,40.7199592590332,-73.9842834472656
1004360,298,EAST 3 STREET,10009,103,Manhattan,110,0,110,9,12.222222,40.7210006713867,-73.979606628418
1004440,738,EAST 6 STREET,10009,103,Manhattan,46,0,46,11,4.181818,40.722728729248,-73.9779434204102
1004567,9,AVENUE B,10009,103,Manhattan,56,0,56,8,7.0,40.7216796875,-73.9833908081055
1004610,37,AVENUE B,10009,103,Manhattan,27,0,27,6,4.5,40.7226905822754,-73.9826278686523
1005581,276,GRAND STREET,10002,103,Manhattan,5,24,29,6,4.833333,40.7180290222168,-73.9926681518555
1005585,120,FORSYTH STREET,10002,103,Manhattan,57,0,57,18,3.166666,40.719181060791,-73.9921264648438
1005694,157,CHRYSTIE STREET,10002,103,Manhattan,35,0,35,6,5.833333,40.7204895019531,-73.993049621582
1005814,91,EAST    7 STREET,10009,103,Manhattan,12,2,14,4,3.5,40.7269706726074,-73.9854431152344
1005896,158,1 AVENUE,10009,103,Manhattan,31,7,38,11,3.454545,40.7284393310547,-73.9843063354492
1005898,162,1 AVENUE,10009,103,Manhattan,31,3,34,6,5.666666,40.7285804748535,-73.9842834472656
1005994,444,EAST 13 STREET,10009,103,Manhattan,56,0,56,15,3.733333,40.7297401428223,-73.9814834594727
1006021,219,AVENUE A,10009,103,Manhattan,6,60,66,11,6.0,40.7301902770996,-73.9808578491211
1006074,43,EAST 1 STREET,10003,103,Manhattan,48,11,59,10,5.9,40.7237281799316,-73.9900436401367
1006383,79,ST MARKS PLACE,10003,103,Manhattan,46,0,46,10,4.6,40.7278900146484,-73.9855575561523
1006455,163,1 AVENUE,10003,103,Manhattan,49,0,49,4,12.25,40.7290115356445,-73.9846878051758
1006515,324,EAST   14 STREET,10003,103,Manhattan,2,45,47,15,3.133333,40.7316703796387,-73.9840927124023
1006594,75,2 AVENUE,10003,103,Manhattan,0,41,41,4,10.25,40.7265892028809,-73.9895401000977
1006746,141,2 AVENUE,10003,103,Manhattan,61,6,67,20,3.35,40.7291793823242,-73.9876022338867
1007074,62,GRAND STREET,10013,102,Manhattan,16,1,17,3,5.666666,40.7223701477051,-74.0032577514648
1007481,24,PRINCE STREET,10012,102,Manhattan,82,2,84,8,10.5,40.7226905822754,-73.9946517944336
1007496,231,MOTT STREET,10012,102,Manhattan,41,4,45,9,5.0,40.7226409912109,-73.9953384399414
1007853,248,ELIZABETH STREET,10012,102,Manhattan,24,6,30,10,3.0,40.7234916687012,-73.9935989379883
1008199,4,BLEECKER STREET,10012,102,Manhattan,12,7,19,5,3.8,40.7252311706543,-73.9927062988281
1010282,14,GAY STREET,10014,102,Manhattan,24,5,29,7,4.142857,40.7336502075195,-74.0005569458008
1011161,200,WEST 10 STREET,10014,102,Manhattan,15,12,27,4,6.75,40.7339210510254,-74.0038070678711
1012805,406,WEST 25 STREET,10001,104,Manhattan,85,2,87,21,4.142857,40.7478103637695,-74.0010528564453
1012878,452,WEST 36 STREET,10018,104,Manhattan,67,1,68,20,3.4,40.7554397583008,-73.9977569580078
1013373,360,WEST 23 STREET,10011,104,Manhattan,22,0,22,4,5.5,40.7460517883301,-74.0009765625
1013980,152,7 AVENUE,10011,104,Manhattan,34,0,34,6,5.666666,40.7418594360352,-73.9976501464844
1014113,229,WEST 22 STREET,10011,104,Manhattan,71,0,71,8,8.875,40.7439994812012,-73.9969024658203
1014295,208,WEST 30 STREET,10001,105,Manhattan,55,31,86,6,14.333333,40.7485694885254,-73.9932479858398
1015015,763,6 AVENUE,10010,104,Manhattan,10,0,10,3,3.333333,40.7445793151855,-73.9919128417969
1015054,154,WEST 27 STREET,10001,105,Manhattan,36,0,36,12,3.0,40.7460784912109,-73.9931335449219
