Bin,House Number,Street Name,Zip,Community Board,Borough Name,Block,Lot,LONGITUDE_POINT_X,LATITUDE_POINT_Y
1004109,68,CLINTON STREET,10002,103,Manhattan,344,138,-73.98474884,40.71924973
1004117,175,STANTON STREET,10002,103,Manhattan,344,150,-73.98428345,40.71995926
1004360,298,EAST 3 STREET,10009,103,Manhattan,372,22,-73.97960663,40.72100067
1004483,268,EAST 7 STREET,10009,103,Manhattan,376,26,-73.97741699,40.7232399
1004610,37,AVENUE B,10009,103,Manhattan,386,1,-73.98262787,40.72269058
1005581,276,GRAND STREET,10002,103,Manhattan,418,56,-73.99266815,40.71802902
1005896,158,1 AVENUE,10009,103,Manhattan,437,6,-73.98430634,40.72843933
1005898,162,1 AVENUE,10009,103,Manhattan,437,8,-73.98428345,40.72858047
1005994,444,EAST 13 STREET,10009,103,Manhattan,440,30,-73.98148346,40.72974014
1006380,143,1 AVENUE,10003,103,Manhattan,450,30,-73.98529816,40.72816849
1006383,79,ST MARKS PLACE,10003,103,Manhattan,450,35,-73.98555756,40.72789001
1006455,163,1 AVENUE,10003,103,Manhattan,452,37,-73.98468781,40.72901154
1006594,75,2 AVENUE,10003,103,Manhattan,460,39,-73.9895401,40.7265892
1006907,221,2 AVENUE,10003,103,Manhattan,469,33,-73.98552704,40.73215103
1007074,62,GRAND STREET,10013,102,Manhattan,475,32,-74.00325775,40.72237015
1007481,24,PRINCE STREET,10012,102,Manhattan,493,16,-73.99465179,40.72269058
1007496,231,MOTT STREET,10012,102,Manhattan,494,24,-73.99533844,40.72264099
1010282,14,GAY STREET,10014,102,Manhattan,593,48,-74.00055695,40.73365021
1013027,328,WEST 15 STREET,10011,104,Manhattan,738,56,-74.00335693,40.74079132
1013980,152,7 AVENUE,10011,104,Manhattan,769,34,-73.99765015,40.74185944
1014113,229,WEST 22 STREET,10011,104,Manhattan,772,30,-73.99690247,40.74399948
1014295,208,WEST 30 STREET,10001,105,Manhattan,779,49,-73.99324799,40.74856949
1015015,763,6 AVENUE,10010,104,Manhattan,801,40,-73.99191284,40.74457932
1015064,145,WEST 27 STREET,10001,105,Manhattan,803,7503,-73.9927063,40.74641037
1015092,136,WEST 28 STREET,10001,105,Manhattan,803,60,-73.99223328,40.746521
1015810,23,WEST 31 STREET,10001,105,Manhattan,833,27,-73.98710632,40.74726868
1016986,15,EAST 31 STREET,10016,105,Manhattan,861,7501,-73.98480225,40.7462883
1025018,334,WEST 46 STREET,10036,104,Manhattan,1036,47,-73.98937988,40.76015091
1032025,123,WEST 81 STREET,10024,107,Manhattan,1212,25,-73.97515869,40.78377914
1032123,162,WEST 84 STREET,10024,107,Manhattan,1214,61,-73.97576141,40.78614044
1033649,698,AMSTERDAM AVENUE,10025,107,Manhattan,1241,35,-73.97176361,40.79270935
1033650,200,WEST 94 STREET,10025,107,Manhattan,1241,36,-73.97170258,40.79278183
1038476,981,2 AVENUE,10022,106,Manhattan,1325,31,-73.96794128,40.75614929
1038764,838,2 AVENUE,10017,106,Manhattan,1337,51,-73.97070313,40.75141144
1046666,23,EAST 81 STREET,10028,108,Manhattan,1493,7506,-73.96148682,40.77801895
1049952,1626,2 AVENUE,10028,108,Manhattan,1547,2,-73.95230865,40.77661133
1051941,1642,LEXINGTON AVENUE,10029,111,Manhattan,1631,56,-73.9475708,40.79092026
1051972,168,EAST 105 STREET,10029,111,Manhattan,1632,44,-73.94605255,40.79101944
1052200,160,EAST 111 STREET,10029,111,Manhattan,1638,148,-73.94365692,40.79507065
1052247,171,EAST 115 STREET,10029,111,Manhattan,1643,29,-73.94120026,40.79777908
1052262,1863,LEXINGTON AVENUE,10029,111,Manhattan,1643,52,-73.94164276,40.79832077
1052271,110,EAST  116 STREET,10029,111,Manhattan,1643,7502,-73.94275665,40.79880142
1052332,101,EAST 117 STREET,10035,111,Manhattan,1645,1,-73.94229126,40.79996109
1052467,2145,   2 AVENUE,10029,111,Manhattan,1660,23,-73.9406662,40.79352188
1052837,2121,1 AVENUE,10029,111,Manhattan,1681,23,-73.93885803,40.79177094
1052924,322,EAST 116 STREET,10029,111,Manhattan,1687,41,-73.93688965,40.79632187
1053037,273,PLEASANT AVENUE,10029,111,Manhattan,1708,124,-73.93415833,40.79417038
1053056,432,EAST 116 STREET,10029,111,Manhattan,1709,35,-73.93437958,40.79526138
1054016,14,EAST 125 STREET,10035,111,Manhattan,1749,64,-73.94164276,40.80583954
1054207,2081,5 AVENUE,10035,111,Manhattan,1753,102,-73.94042969,40.80841827
1054246,2056,MADISON AVENUE,10035,111,Manhattan,1754,58,-73.93863678,40.80891037
1054328,2093,MADISON AVENUE,10037,111,Manhattan,1756,50,-73.93727112,40.8098793
1054342,2153,5 AVENUE,10037,111,Manhattan,1756,72,-73.93894958,40.81042099
1054648,2411,2 AVENUE,10035,111,Manhattan,1788,27,-73.93453217,40.80197906
1054710,329,EAST 118 STREET,10035,111,Manhattan,1795,16,-73.93538666,40.79795074
1054858,406,EAST  119 STREET,10035,111,Manhattan,1806,145,-73.93367767,40.79763031
1054948,143,WEST 111 STREET,10026,110,Manhattan,1821,9,-73.95387268,40.79986954
1054981,123,WEST 112 STREET,10026,110,Manhattan,1822,15,-73.95285034,40.80014038
1055008,60,ST NICHOLAS AVENUE,10026,110,Manhattan,1823,18,-73.9521637,40.80080032
1055052,120,WEST 116 STREET,10026,110,Manhattan,1825,45,-73.95111847,40.80231094
1057558,191,LENOX AVENUE,10026,110,Manhattan,1904,33,-73.94838715,40.80445099
1057688,231,LENOX AVENUE,10027,110,Manhattan,1906,33,-73.94747162,40.80569839
1057803,144,WEST  124 STREET,10027,110,Manhattan,1908,52,-73.94780731,40.807621
1058117,158,WEST 132 STREET,10027,110,Manhattan,1916,55,-73.94432831,40.81280899
1058118,162,WEST 132 STREET,10027,110,Manhattan,1916,56,-73.94445801,40.81285858
1058427,200,WEST 119 STREET,10026,110,Manhattan,1924,36,-73.95157623,40.80522156
1058485,208,ST NICHOLAS AVENUE,10027,110,Manhattan,1926,61,-73.95263672,40.80720139
1058491,222,ST NICHOLAS AVENUE,10027,110,Manhattan,1927,2,-73.95259857,40.80764008
1058532,244,WEST  122 STREET,10027,110,Manhattan,1927,58,-73.95202637,40.80775833
1058893,2302,7 AVENUE,10030,110,Manhattan,1941,30,-73.94393921,40.81567001
1059005,361,WEST 116 STREET,10026,110,Manhattan,1943,11,-73.9570694,40.80545044
1059163,63,MORNINGSIDE AVENUE,10027,110,Manhattan,1947,64,-73.9557724,40.8083992
1059530,467,WEST 125 STREET,10027,109,Manhattan,1966,38,-73.95575714,40.81327057
1059624,1437,AMSTERDAM AVENUE,10027,109,Manhattan,1970,34,-73.95371246,40.81632996
1059691,543,WEST 125 STREET,10027,109,Manhattan,1982,5,-73.95717621,40.81489944
1059808,528,WEST 136 STREET,10031,109,Manhattan,1988,127,-73.9537735,40.82017899
1060413,2400,7 AVENUE,10030,110,Manhattan,2026,29,-73.94164276,40.81882095
1060498,269,WEST 146 STREET,10039,110,Manhattan,2032,7,-73.94062042,40.82341003
1060525,283,WEST 147 STREET,10039,110,Manhattan,2033,11,-73.93985748,40.82389832
1060661,315,WEST 138 STREET,10030,110,Manhattan,2041,40,-73.94576263,40.81893158
